application_id,customer_id,application_date,loan_type,loan_amount_requested,loan_tenure_months,interest_rate_offered,purpose_of_loan,employment_status,monthly_income,cibil_score,property_ownership_status,applicant_age,gender,loan_status
c8bf0bea-70e6-4870-9125-41b8210c527f,CUST109427,2023-04-09,Business Loan,604000.0,12,11.66,Medical Emergency,Retired,34700.0,714,Rented,28,Female,Approved
91224cec-3544-4bc7-ac15-a9792da54c02,CUST106146,2023-09-23,Car Loan,100000.0,240,13.62,Education,Unemployed,51600.0,667,Owned,44,Other,Approved
4efcd02d-4a03-4ab7-9bd1-0ff430493d0c,CUST100674,2023-05-22,Education Loan,431000.0,60,11.4,Medical Emergency,Self-Employed,14800.0,808,Rented,56,Other,Approved
a61337d4-ba04-4a68-b492-2cb8266e6ed7,CUST106466,2024-07-09,Car Loan,324000.0,120,10.36,Debt Consolidation,Self-Employed,28800.0,647,Rented,27,Other,Declined
a8d1639e-170b-41b2-826a-55c7dae38d16,CUST112319,2023-11-20,Personal Loan,100000.0,36,14.14,Business Expansion,Salaried,43900.0,624,Rented,50,Other,Declined
d91cf990-efa1-44ad-94bf-44e6c79d1051,CUST116153,2025-02-19,Business Loan,1164000.0,24,9.83,Wedding,Self-Employed,72700.0,710,Jointly Owned,25,Male,Approved
cd837d7e-98de-4d26-8b6f-f59d7bef9d2a,CUST118841,2023-02-02,Personal Loan,220000.0,36,8.71,Vehicle Purchase,Unemployed,47300.0,768,Rented,46,Male,Approved
63e87083-c21d-4b53-856b-b58b3285b9aa,CUST109691,2022-11-05,Home Loan,475000.0,60,12.87,Home Renovation,Unemployed,42500.0,677,Owned,31,Male,Approved
7eb31cc3-e1e7-4ef9-ae4e-b86771d60119,CUST106322,2025-05-11,Personal Loan,106000.0,120,10.22,Business Expansion,Business Owner,40300.0,723,Owned,42,Female,Approved
74126982-ef72-40dd-8cc3-5d441cfe7b02,CUST102418,2023-04-29,Home Loan,768000.0,240,7.46,Debt Consolidation,Student,59800.0,707,Jointly Owned,51,Male,Approved
2cdc104f-abbf-4f8d-b9c1-2e073ed17bb7,CUST101535,2024-10-19,Education Loan,395000.0,12,8.33,Debt Consolidation,Salaried,10100.0,696,Jointly Owned,40,Male,Approved
0e6ce97f-296f-41e7-88a5-0a4951e4262d,CUST101333,2023-11-09,Home Loan,256000.0,120,8.86,Medical Emergency,Unemployed,87300.0,747,Rented,63,Male,Approved
e0b509dc-5357-427d-bd69-681308a68efc,CUST106264,2024-08-31,Education Loan,745000.0,12,9.78,Debt Consolidation,Self-Employed,35000.0,619,Rented,61,Female,Declined
d4460e0d-0d9d-448a-8a78-dfa169b1816d,CUST116366,2024-04-12,Education Loan,100000.0,120,12.25,Wedding,Student,75400.0,629,Jointly Owned,33,Female,Declined
973a866a-a7bd-4166-8121-a1e220e29a83,CUST103082,2023-12-16,Education Loan,737000.0,240,7.0,Medical Emergency,Retired,10000.0,755,Jointly Owned,28,Male,Approved
